Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Tiny McKeever,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Seymour O'Reilly,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Sally Avril,Women,White,2017,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Ronda Kramer,Women,White,2017,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Randy Vale,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Foster,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Douglas,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Doris Toomes,Women,POC,2017,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Delmar,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Crimson,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Cobbwell,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Cindy Moon,Women,POC,2017,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Charles Murphy,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Morita,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Monica Warren,Women,POC,2017,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Marjorie,Women,White,2017,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Barry Hapgood,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Anne Hoag,Women,White,2017,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Andre Wilson,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Abe Brown,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Hajo,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Topaz,Women,POC,2017,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Roscoe,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Carlo,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Nomble,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Zawavari,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Yama,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Xoliswa,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Merchant Tribe Elder,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
M'Kathu,Men,POC,2018,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
M'Bele,Men,POC,2018,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
W'Kabi,Men,POC,2018,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Linda,Women,POC,2018,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Limbani,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Griot,Men,POC,2018,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Fiona Thomas,Women,White,2018,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Sophia,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Sope,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
River Triber Elder,Men,POC,2018,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Dave (Henchman),Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bert,Men,White,2018,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Uzman,Men,POC,2018,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Stoltz,Men,White,2018,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Scott,Men,White,2018,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Elihas Starr,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Rose,Women,White,2018,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Derek,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Daniel Gooobler,Men,White,2018,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Cathrine Starr,Women,POC,2018,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Burleigh,Men,White,2018,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Kurt Goreshter,Men,White,2018,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Knox,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Anitolov,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ana Maria,Women,White,2018,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Livanson,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Whitcher,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Joseph Danvers,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Supreme Intelligence,Women,White,2019,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Steve Danvers,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Good,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Soh Larr,Men,POC,2019,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Don,Men,White,2019,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Side Character
R. Keller,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Cook,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Cajun,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Norex,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bron Char,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bret Johnson,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Minn Erva,Women,POC,2019,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Att Lass,Men,POC,2019,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Accuser,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Phyllis Jenkins,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Chesler,Men,White,2019,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
